target,rank,feature,importance
Em_max_nm,1,pair_O_to_C,2.7107474687538025
Em_max_nm,2,pair_sum_NumAtoms,1.588287450575004
Em_max_nm,3,pair_sum_NumValenceElectrons,1.5758119904738748
Em_max_nm,4,p1_fp_238,1.5632202304463712
Em_max_nm,5,p1_fp_142,1.4973924826683633
Em_max_nm,6,fp_xor_count,1.4205974424581196
Em_max_nm,7,pair_ratio21_N_count,1.3638313030330007
Em_max_nm,8,pre_mmol_ratio_21,1.363042135289899
Em_max_nm,9,qy_mmol_ratio_x_acidity,1.3503494870447743
Em_max_nm,10,pre_mmol_sum,1.2858476662669163
Em_max_nm,11,pair_absdiff_C_count,1.2307566738606617
Em_max_nm,12,reagent_to_precursor_vol_mass_ratio,1.2186617021366128
Em_max_nm,13,pair_sum_Hetero_to_C,1.2055106859189753
Em_max_nm,14,pair_sum_fg_carbonyl_any_has,1.1841770739331292
Em_max_nm,15,pair_total_O,1.073836030436894
Em_max_nm,16,qy_time_x_tanimoto,1.0559388863649197
Em_max_nm,17,pre_mmol_diff_abs,1.0495082207927355
Em_max_nm,18,temp_over_time,1.0372839667038833
Em_max_nm,19,pre_2_mmol,1.0275802494513409
Em_max_nm,20,p2_Hetero_to_C,1.022073763047803
Em_max_nm,21,p1_HeteroAtomCount,1.0031617539536941
Em_max_nm,22,pair_prod_fg_carboxylic_acid_count,0.9997961893209821
Em_max_nm,23,qy_reagent_ratio_x_temp,0.9856776592938732
Em_max_nm,24,qy_acid_x_pair_total_O,0.980855280068079
Em_max_nm,25,pre1_mmol_frac,0.9739939854682198
Em_max_nm,26,qy_temp_x_pair_total_hetero,0.9468961683463714
Em_max_nm,27,qy_protic_x_temp_time,0.9254181218267874
Em_max_nm,28,pair_absdiff_NumValenceElectrons,0.9214638976011318
Em_max_nm,29,pre_1_mmol,0.9203650170878115
Em_max_nm,30,qy_reagent_ratio_x_time,0.918606046762432
Em_max_nm,31,pair_ratio21_MolLogP,0.9116551047030657
Em_max_nm,32,pair_prod_MolWt,0.9108812071976506
Em_max_nm,33,pair_absdiff_N_to_C,0.9044183135286192
Em_max_nm,34,p2_fp_175,0.8987101353015053
Em_max_nm,35,temp_time,0.8824406706357448
