target,rank,feature,importance
Ex_max_nm,1,pair_sum_MolLogP,2.9662779284572127
Ex_max_nm,2,qy_mmol_ratio_x_acidity,2.921336008931348
Ex_max_nm,3,pair_sum_NumAtoms,2.377930282092331
Ex_max_nm,4,pair_prod_Hetero_to_C,1.950963628007439
Ex_max_nm,5,reagent_to_precursor_vol_mass_ratio,1.8960459768218878
Ex_max_nm,6,qy_reagent_ratio_x_hetero,1.8938831274414434
Ex_max_nm,7,pre_2_mmol,1.6556090807038304
Ex_max_nm,8,pair_ratio21_MolLogP,1.6310191394676956
Ex_max_nm,9,pre_1_mmol,1.5535079641331657
Ex_max_nm,10,qy_reagent_ratio_x_temp,1.5073152536544558
Ex_max_nm,11,pair_O_to_C,1.4907817673207584
Ex_max_nm,12,pre_mmol_ratio_21,1.4513276652362557
Ex_max_nm,13,pair_absdiff_ExactMolWt,1.3694041331323747
Ex_max_nm,14,qy_temp_time_x_pair_total_hetero,1.2594311576880393
Ex_max_nm,15,p1_fp_142,1.2260106193935756
Ex_max_nm,16,pre_mmol_sum,1.114410882514032
Ex_max_nm,17,qy_time_x_pair_total_hetero,1.0443519824707568
Ex_max_nm,18,qy_temp_x_tanimoto,1.043957676620681
Ex_max_nm,19,pair_absdiff_NumAliphaticRings,1.005595980994307
Ex_max_nm,20,pair_absdiff_Hetero_to_C,0.9612914536193516
